Model,country,MAE mediu,RMSE
LASSO,Malta,1.461108127017819,1.6778198986784048
LASSO,Moldova,6.329648343134982,6.670690483397638
LASSO,Montenegro,7.024750033756898,8.090079206690492
LASSO,Netherlands,7.270264776388691,7.3445029532460975
LASSO,North Macedonia,14.685460825301169,14.922545436073506
LASSO,Norway,1.6184317802570747,1.9951993452518846
LASSO,Poland,6.727103388509403,6.853372050163409
LASSO,Portugal,2.364412340431181,2.853523568763492
LASSO,Romania,10.527732635799104,10.612407297761676
LASSO,Russian Federation,4.788449113675796,5.024072859891598
LASSO,Serbia,5.302965110457078,6.090372806271122
LASSO,Slovak Republic,2.438485600326473,2.5068434472680114
LASSO,Slovenia,2.985245557016384,3.5838447123857806
LASSO,Spain,3.9820998735542643,4.025580815724899
LASSO,Sweden,2.8283231331197554,2.8841803697334942
LASSO,Switzerland,6.310268658092932,6.326039431525814
LASSO,Turkiye,17.214070082518347,17.307859053671862
LASSO,Ukraine,4.759368822484646,4.7703446274759145
LASSO,United Kingdom,1.4893192199675838,1.720231186545805
Linear Regression,Albania,3.8599165635170025,4.5740553442466405
Linear Regression,Austria,4.904238662972427,4.923993681751305
Linear Regression,Belarus,3.243903358321242,3.274017461094476
Linear Regression,Belgium,11.129631813026549,11.147686149158362
Linear Regression,Bosnia and Herzegovina,9.355903251331629,9.539762776268656
Linear Regression,Bulgaria,1.0163649555224026,1.159014651268604
Linear Regression,Croatia,9.861110730852221,10.031319367240002
Linear Regression,Cyprus,1.5255836556589089,1.8793962642813427
Linear Regression,Czechia,1.4293967322482701,1.663840133745604
Linear Regression,Denmark,0.3869655114475762,0.6027897798686126
Linear Regression,Estonia,2.2204932186698327,2.663236178044199
Linear Regression,Finland,6.263585849391046,6.303380443549689
Linear Regression,France,3.885402546996633,4.093807900720858
Linear Regression,Germany,1.0888380683448162,1.439088878996015
Linear Regression,Greece,5.279973846886419,5.5823760292624724
Linear Regression,Hungary,6.49368353138392,6.587015202898828
Linear Regression,Iceland,5.0414191997464055,5.440091717469776
Linear Regression,Ireland,2.6484080722298016,2.7565245711997424
Linear Regression,Italy,13.473752106886547,13.544088462875955
Linear Regression,Latvia,3.2218157118618564,3.3963157727860915
Linear Regression,Lithuania,4.650423945233865,4.868894681448452
Linear Regression,Luxembourg,6.60404279881209,6.611212584143015
Linear Regression,Malta,0.9811665688295406,1.2645071664663996
Linear Regression,Moldova,5.122726249139151,5.698845545061792
Linear Regression,Montenegro,8.410032138990713,9.481704023195185
Linear Regression,Netherlands,6.975719501648584,7.0506359534933445
Linear Regression,North Macedonia,15.962389409389345,16.20597901579978
Linear Regression,Norway,2.7182854504335694,2.997289932789442
Linear Regression,Poland,8.290047978389092,8.351190575037515
Linear Regression,Portugal,3.269309184585964,3.7779748279537175
Linear Regression,Romania,10.490662222397775,10.542732320047877
Linear Regression,Russian Federation,3.3449395902887487,3.690093357895122
Linear Regression,Serbia,5.437284458136594,6.290515946559216
Linear Regression,Slovak Republic,2.111465256455901,2.2447601496560345
Linear Regression,Slovenia,3.894565408593297,4.50784204946313
Linear Regression,Spain,5.070490883639968,5.119056051931692
Linear Regression,Sweden,1.4289228253260746,1.4870999433788716
Linear Regression,Switzerland,6.220604831795393,6.240909612504791
Linear Regression,Turkiye,17.243276905172014,17.360014525304486
Linear Regression,Ukraine,7.003215407097362,7.010463989034355
Linear Regression,United Kingdom,3.396071040065178,3.5234013361574457
Random Forest,Albania,6.430878021157691,7.225058475916275
