Rundă,Train,Validation
77,0.27525898756277634,0.5216046288246061
78,0.2725809847583949,0.5198230599848236
79,0.26960533529111164,0.5186298691281458
80,0.26699758627701825,0.5166515079213352
81,0.26463304281734473,0.5154274951030569
82,0.26179297032720616,0.5141768674479752
83,0.2591538415971871,0.5145506130122557
84,0.25662169473177593,0.513483934513316
85,0.2539659263850076,0.5124783428703866
86,0.2517074491692389,0.5122498014442077
87,0.2489372569124964,0.510607851623762
88,0.24641569103000732,0.5092659858850445
89,0.2439951873668356,0.5082155113540044
90,0.24157024515656436,0.5062594065306391
91,0.23954795059043824,0.5050823877043114
92,0.23677621535934146,0.5039204248658767
93,0.23439079359537218,0.502036976196417
94,0.23196673302388773,0.5008658139807421
95,0.22967638170755492,0.49905383259784886
96,0.22723146040480946,0.49813991312573597
97,0.22455829769520588,0.4967330201733403
98,0.22276600082007394,0.49727424842918794
99,0.2204884051759841,0.4968479313410637
100,0.2180046911845438,0.49559408816985967
101,0.21554275161143754,0.49390464112526034
102,0.21329561033479233,0.49290660159980376
103,0.21154058924251487,0.49139470920511863
104,0.2097899384893159,0.4899621750341683
105,0.20771216367166945,0.4891731036690677
106,0.20612938627430305,0.48891281604585124
107,0.20470254474728392,0.4871321677162153
108,0.20296011303790004,0.48571600864936665
109,0.20098689730029282,0.48525441210807824
110,0.1991485465806341,0.4847750135402127
111,0.19709036602332006,0.48328862907137815
112,0.1951051398049813,0.4827062116436115
113,0.19334560861561176,0.48243660697849783
114,0.19149585302476202,0.4811039432065516
115,0.18994889820062713,0.4795673705819177
116,0.18854348919717823,0.4782053032753671
117,0.18695110084613922,0.47705753383840005
118,0.18524272416479795,0.47511009890131833
119,0.18368868148749376,0.473891650576417
120,0.18174701954079112,0.4738323104726832
121,0.18007579912635974,0.47266576098414453
122,0.17870769603887754,0.47134040409653655
123,0.17725282783546234,0.47019751776554963
124,0.17564542089140314,0.46891511288448806
125,0.1739197180552476,0.4677763378656492
126,0.17237159995100937,0.46775085117849635
127,0.1711337952761025,0.4672141845633344
128,0.16950314099298472,0.4669180289592321
129,0.16807070294985685,0.46654547521526496
130,0.16670943664318724,0.4653222990426712
131,0.165745672088389,0.4647782238472889
132,0.16443459115064954,0.46469057873800035
133,0.16335237508486367,0.4644137804464596
134,0.1621932386968671,0.4625819782249448
135,0.1609420893279404,0.4625806136556515
136,0.1598923281970911,0.46190478096193655
137,0.15881090279861648,0.4611178851436551
138,0.15763775688431383,0.46088498165240377
139,0.15646663264842794,0.46119896604157073
140,0.15506918922708393,0.4608881205047776
141,0.15368126912422977,0.46022825179303567
142,0.15251016784487748,0.4590675242290628
143,0.1515291527271407,0.4587961448947104
144,0.15035709630408348,0.4575963108232472
145,0.14939585207285722,0.45660282351167464
146,0.1482322167551213,0.45573828741908073
147,0.14724936413368572,0.4554588224329963
148,0.14622319530604816,0.4551116114982018
149,0.14519439600748804,0.4542188773431429
150,0.14422227606665705,0.4544397605492211
151,0.14314080128395112,0.45303245997283514
152,0.141939434878778,0.4524692975257228
153,0.14085728544088807,0.452872324825787
154,0.13994761116848123,0.45290119834698556
155,0.1389077175053677,0.45277035892827483
156,0.1379387033152076,0.45325149320883723
157,0.13686637008114058,0.4518073266599236
158,0.135880797319171,0.4509145622482387
159,0.1351048477610187,0.4510774870244105
160,0.1341978512752642,0.4512380822220953
161,0.1333030319819511,0.45098939360823576
162,0.1324522579543111,0.44959047359482546
163,0.13140919503809817,0.4493324422481947
164,0.13059995565407273,0.4492457341857073
165,0.12968446763101737,0.4489888321244862
166,0.12877787268442306,0.4491902984360733
167,0.1277850315318352,0.4484709901962338
168,0.1270304433504551,0.44757439266526844
169,0.12631287069057068,0.4468734133761467
170,0.12548337427036063,0.4463651187536193
171,0.12461000186229329,0.4456330139598832
172,0.12383078402916264,0.4456978770790667
173,0.12311570237606491,0.44539491870872133
174,0.12235172350589958,0.446236982146596
175,0.12145701422293602,0.446184724728327
176,0.1207957115789546,0.4463405028985041
177,0.1201836809454906,0.4462446626048626
178,0.11954310918141656,0.44555151469369486
179,0.11881271459974303,0.44523571915470245
180,0.11817489867453554,0.4454614219096739
181,0.11741946032696698,0.44436691172148396
182,0.11665423850034841,0.4434087786414638
183,0.11593648932573226,0.44272235746881583
184,0.11509200345892345,0.44226576281120866
185,0.11434168054611513,0.44184494957827575
186,0.11353768557224922,0.4407287991105965
187,0.11294474084322091,0.43979047874851923
188,0.11209443836932911,0.43971267192647223
189,0.11123809319418264,0.43925078032629156
190,0.11062092014031893,0.4384337139951928
191,0.1099133541233974,0.43830095969776556
192,0.10915641246857576,0.43893039818262547
193,0.10848310445052027,0.43856747030484966
194,0.10795653533551092,0.43811002344165634
195,0.10741574855495767,0.43792129979219013
196,0.10675392956075418,0.43793948610290523
197,0.10610738575952582,0.4385779339865577
198,0.10547423133166597,0.43814894340069194
199,0.10481990623946597,0.4386583778711899
200,0.10402951664262929,0.4386968570193503
